Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|14/03/2025|Vente|18000,00|428||RUE|0042|DE L ECLAIREUR DE NICE|2510|ETREUX|02|298||AD|305||||||||||||0|4|Local industriel. commercial ou assimilé||70|0|S||130
|||||||000001|05/03/2025|Vente|68000,00|6||AV|0420|DE NICE|4400|BARCELONNETTE|04|19||AD|502||14|44,54|||||||||1|2|Appartement||44|2|||
|||||||000001|10/03/2025|Vente|178000,00|77||RTE|1118|DE NICE|4000|DIGNE-LES-BAINS|04|70||AP|475||||||||||||0|1|Maison||63|3|S||739
|||||||000001|03/01/2025|Vente|305000,00|19||RUE|5570|DE ROQUEBILLIERE|6300|NICE|06|88||IR|513||79|71,89|||||||||1|2|Appartement||73|3|||
|||||||000001|03/01/2025|Vente|305000,00|21||RUE|5570|DE ROQUEBILLIERE|6300|NICE|06|88||IR|513||372||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2025|Vente|305000,00|19||RUE|5570|DE ROQUEBILLIERE|6300|NICE|06|88||IR|513||79|71,89|||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|22000,00|60||AV|4056|DE LA MARNE|6100|NICE|06|88||HI|59||98||||||||||1|3|Dépendance||0|0|||
|||||||000001|02/01/2025|Vente|398550,00|16||RUE|4200|MEYERBEER|6000|NICE|06|88||KV|195||10||||||||||1|2|Appartement||63|3|||
|||||||000001|07/01/2025|Vente|29000,00|48||AV|3217|HENRI MATISSE|6200|NICE|06|88||OC|183||24||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2025|Vente|67000,00|5||VC|5643|SABATIER|6000|NICE|06|88||MA|317||10|14,12|||||||||1|2|Appartement||14|1|||
|||||||000001|03/01/2025|Vente|67000,00|5||VC|5643|SABATIER|6000|NICE|06|88||MA|317||5||||||||||1|3|Dépendance||0|0|||
